Date,Record Number,Record Type,Address,Description,Status,Unnamed: 6
03/24/2025,25440-01371,Enforcement/Housing Code Inspection/Exterior/General,"2436 MCGUFFEY RD, COLUMBUS OH 43211",While responding to a separate complaint Officer Meszaros observed occupied housing violations.,Active,
03/24/2025,25475-02075,Enforcement/Environmental Health/Occupied/Infestation,"2704 LAUFFER RAVINES DR, Columbus OH 43231",2704 LAUFFER RAVINES DR - caller states still having a problem with roaches in her unit (bathroom and living rooms areas had sightings);  states although was not home each time believes the maintenance crew was treating all the units not a contractor in the front part of the complex;  states her unit was treated several times since DEC 2024 but problem persists;  requesting to please investigate;  thank you,Active,
03/24/2025,25441-00497,Enforcement/Emergency Order/Interior/Water Off,"3016 E 12TH AVE, COLUMBUS OH 43219",Complainant stated that she has put other requests in the 311 system. Most pressing issue is no water.,Active,
03/24/2025,25440-01374,Enforcement/Housing Code Inspection/Structure/General,"1514 E LONG ST, Columbus OH 43203","1514 E LONG ST, 7 - The heat does work in the building, and they do turn it on but the residents have no control over it.... the apartment turns it on when it gets cold enough out. The issue the resident has is that since the 2nd year living there they must have adjusted the thermostat to where it only turns on when the outside temp is under 40 degrees and they are freezing inside of the apartment. Please inspect and assist with the issue. She has been dealing with this and complaining for years now. Thanks.",Active,
03/24/2025,25440-01366,Enforcement/Housing Code Inspection/Exterior/General,"2368 SOMERSWORTH DR N, COLUMBUS OH 43219",Exterior housing violations,Active,
03/24/2025,25451-00635,Enforcement/Vacant Structure Inspection/Residential/Emergency--Board Up,"464 S WARREN AVE, COLUMBUS OH 43204",Vacant has garage that is open and unsecure.,Active,
03/24/2025,25470-02362,Enforcement/Zoning Code Inspection/Couches Improper Yard Use/NA,"816 KEVIN DR, COLUMBUS OH 43224",PROHIBITED EXTERIOR STORAGE OF CONSTRUCTION MATERIALS IN THE DRIVEWAY,Active,
03/24/2025,25440-01372,Enforcement/Housing Code Inspection/Exterior/General,"2893 ONTARIO ST, COLUMBUS OH 43224",While responding to a separate complaint Officer Meszaros observed exterior housing violations.,Active,
03/24/2025,25440-01362,Enforcement/Housing Code Inspection/Structure/General,"1260 WORTHINGTON HEIGHTS BLVD, Columbus OH 43235",1260 WORTHINGTON HEIGHTS BLVD - chunks falling near cars,Active,
03/24/2025,25475-02077,Enforcement/Environmental Health/Occupied/Infestation,"91 ROSEBROOK CT, Columbus OH 43068","91 ROSEBROOK CT - Caller is reporting that her apartment complex Rosebrook Apartments are  trying to make her live in inhabitable conditions.Caller stated that there is a roach infestation in the home since she moved in her home address 91 ROSEBROOK CT in February.Caller stated that when she moved in before signing the lease everything looked good on the outside in and inside but says after signing the lease and getting her key, she found they tried to hid the roach traps in corners and closets.Caller stated that she reported the issue immediately but they have yet to resolve the issue. Stated that they have sprayed numerous times but what they are using is not working and because of whatever they are spraying she is unable to cook or eat in the home and has to live off of processed foods, says she is basically starving because she cant even cook in the home with this spraying.Stated that she requested that they please move her to a different unit and they told her they would but have not instead they are sort of trying to force her to remain in the inhabitable conditions while they keep trying treatments, please check.",Active,
03/24/2025,25440-01368,Enforcement/Housing Code Inspection/Exterior/General,"751 KIMBALL PL, COLUMBUS OH 43205",,Active,
03/24/2025,25451-00638,Enforcement/Vacant Structure Inspection/Residential/Emergency--Board Up,"59 N PRINCETON AVE, COLUMBUS OH 43222",Unsecured vacant.,Active,
03/24/2025,25450-00637,Enforcement/Vacant Structure Inspection/Residential/Other,"276 E MORRILL AVE, Columbus OH 43207",276 E MORRILL AVE - all windows have been shattered. appears to have been an explosion?,Active,
03/24/2025,25440-01360,Enforcement/Housing Code Inspection/Interior/General,"376 ST CLAIR AVE, COLUMBUS OH 43203",Interior violations observed at the time of the inspection,Active,
03/24/2025,25442-00088,Enforcement/Housing Code Inspection/Graffiti/General,"1557 PARSONS AVE, COLUMBUS OH 43207",Graffiti,Active,
03/24/2025,25440-01373,Enforcement/Housing Code Inspection/Structure/General,"2091 LAKE CLUB TER, Columbus OH 43232","2091 LAKE CLUB TER, E - Resident lives on the 3rd floor and is having issues with squirrels in the ceiling. She has been calling for the last 3 weeks, and not getting any resolve. They are also falling in between the walls, scratching and making noise all through the night making it impossible to rest. Please inspect and assist as soon as possible. Thanks.",Active,
03/24/2025,25440-01363,Enforcement/Housing Code Inspection/Structure/General,"624 S HAMPTON RD, Columbus OH 43213",624 S HAMPTON RD - Resident reported the neighbors tree is covering the roof tress are growing into the power lines 624 S HAMPTON RD,Active,
03/24/2025,25440-01365,Enforcement/Housing Code Inspection/Structure/General,"5760 MILBANK RD, Columbus OH 43229","5760 MILBANK RD, C - Hello my name is Octavia MerrittI live at lakeside villas my address is 5760 Millbank Rd, Apt C, Columbus OH 43229I have been here a year and it has been nothing but a mess! I have been dealing with mice infection, roaches I had to call the fire department because my furnace caught fire and they came out and said the vents needed to be cleaned out and they never came to clean them! Today my ceiling is leaking and I have submitted a work order no response I have called the emergency line and no one has called me back or even came to fix the problem.How can I go about this issue I have included pictures and videos I had to get a cat to catch mice in my unit",Active,
03/24/2025,25440-01359,Enforcement/Housing Code Inspection/Structure/General,"2711 OSCEOLA AVE, Columbus OH 43211","2711 OSCEOLA AVE - Back in the fall  they city was planting new grass seed in front of my house.  They used a bobcat to add dirt and in doing so, tore up the bottom of my driveway.  My driveway is now deteriorating.  I feel the city should fix this.",Closed,
03/24/2025,25470-02357,Enforcement/Zoning Code Inspection/Cert of Zoning Clearance/NA,"454 S TERRACE AVE, COLUMBUS OH 43204",Property has prohibited exterior storage.,Active,
03/24/2025,25440-01370,Enforcement/Housing Code Inspection/Structure/General,"2212 GLENBROOK DR, Columbus OH 43232",2212 GLENBROOK DR - resident reports an infestation of fungus gnats in apartment. states there are dead bed bugs falling out of the vents.  states the windows do not open. states vents are painted shut. states sink is leaking and there is mold under the sink.,Active,
03/24/2025,25441-00496,Enforcement/Emergency Order/Interior/Water Off,"2236 HANNA DR, COLUMBUS OH 43211",Water off 3/19/2025 due to landlord unpaid bill,Active,
03/24/2025,25475-02072,Enforcement/Environmental Health/Unoccupied Structure/Solid Waste,"464 S WARREN AVE, COLUMBUS OH 43204",Property has trash in the yard.,Active,
03/24/2025,25450-00636,Enforcement/Vacant Structure Inspection/Residential/Exterior Violations,"464 S WARREN AVE, COLUMBUS OH 43204",Vacant not boarded.,Active,
03/24/2025,25440-01364,Enforcement/Housing Code Inspection/Structure/General,"612 S HAMPTON RD, Columbus OH 43213",612 S HAMPTON RD - Resident reported the neighbors tree is covering the roof tress are growing into the power lines 612 S HAMPTON RD,Active,
03/24/2025,25440-01361,Enforcement/Housing Code Inspection/Exterior/General,"454 S TERRACE AVE, COLUMBUS OH 43204",Property has gutters in disrepair.,Active,
03/23/2025,25440-01357,Enforcement/Housing Code Inspection/Structure/General,"4111 MAIZE RD, Columbus OH 43224",4111 MAIZE RD - There is a unsafe tree next to the driveway  on the car.,Active,
03/23/2025,25440-01353,Enforcement/Housing Code Inspection/Structure/General,"3007 CALUMET ST, Columbus OH 43202","3007 CALUMET ST - Building is in disrepair with rotting wood, peeling paint, missing gutters and rusted sills.",Active,
03/23/2025,25442-00087,Enforcement/Housing Code Inspection/Graffiti/General,"2546 INDIANOLA AVE, Columbus OH 43202",2546 INDIANOLA AVE - graffiti from the vandals,Active,
03/23/2025,25450-00634,Enforcement/Vacant Structure Inspection/Residential/Other,"960 SULLIVANT AVE, Columbus OH 43223","960 SULLIVANT AVE - Unsecure Vacant, front window open",Active,
03/23/2025,25442-00086,Enforcement/Housing Code Inspection/Graffiti/General,"520 E TOMPKINS ST, Columbus OH 43202",520 E TOMPKINS ST - Graffiti was spray painted on the side of the Dude Locker.,Active,
03/23/2025,25440-01358,Enforcement/Housing Code Inspection/Structure/General,"974 NORTHRIDGE RD, Columbus OH 43224",974 NORTHRIDGE RD - There is siding coming off the East side of the house.,Active,
03/23/2025,25440-01355,Enforcement/Housing Code Inspection/Structure/General,"4918 RIVER TRAIL CT, Columbus OH 43228",4918 RIVER TRAIL CT - invasion of privacy!! Has her cameras facing our home and our back yard! very uncomfortable especially since our small son plays outside. Please check out.,Closed,
